Name	Latitude	Longitude	Category	Description
Junction City	33.01459	-92.72497	History	<a href='https://www.hmdb.org/m.asp?m=208815' target='_blank'>Visit the website</a> for more info.
Mud	33.03175	-91.15803	Interest	A 2013 film inspired by river tales of mark Twain and starred by Matthew McConaughey and Reese Witherspoon.
The Spring Bank Ferry	33.08926	-93.85997	History	<a href='https://www.hmdb.org/m.asp?m=181621' target='_blank'>Visit the website</a> for more info.
History of The Spring Bank Ferry	33.09000	-93.90549	History	<a href='https://www.hmdb.org/m.asp?m=181760' target='_blank'>Visit the website</a> for more info.
Cariola Landing	33.09172	-91.21039	History	<a href='https://www.hmdb.org/m.asp?m=159402' target='_blank'>Visit the website</a> for more info.
Site of Mount Carmel	33.09925	-91.26431	History	<a href='https://www.hmdb.org/m.asp?m=158466' target='_blank'>Visit the website</a> for more info.
The Old Walnut Hill Schoolhouse	33.10156	-93.65966	History	<a href='https://www.hmdb.org/m.asp?m=109684' target='_blank'>Visit the website</a> for more info.
James Sevier Conway	33.10189	-93.68335	History	<a href='https://www.hmdb.org/m.asp?m=181517' target='_blank'>Visit the website</a> for more info.
Eudora Under The Hill	33.10514	-91.26081	History	<a href='https://www.hmdb.org/m.asp?m=158053' target='_blank'>Visit the website</a> for more info.
El Dorado Female Institute	33.20952	-92.66567	History	<a href='https://www.hmdb.org/m.asp?m=121358' target='_blank'>Visit the website</a> for more info.
Oil in Arkansas, The Discovery	33.21128	-92.66310	History	<a href='https://www.hmdb.org/m.asp?m=121350' target='_blank'>Visit the website</a> for more info.
Oil in Arkansas, Chaos	33.21129	-92.66308	History	<a href='https://www.hmdb.org/m.asp?m=121352' target='_blank'>Visit the website</a> for more info.
Oil in Arkansas, The Smackover Field	33.21131	-92.66306	History	<a href='https://www.hmdb.org/m.asp?m=121356' target='_blank'>Visit the website</a> for more info.
Oil in Arkansas, The Wildcatters	33.21132	-92.66304	History	<a href='https://www.hmdb.org/m.asp?m=121357' target='_blank'>Visit the website</a> for more info.
The Gunfight on the Square	33.21216	-92.66281	History	<a href='https://www.hmdb.org/m.asp?m=121342' target='_blank'>Visit the website</a> for more info.
